dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
prnn_synth,250,2,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.25973448748700323,0.9206349206349206
prnn_synth,250,2,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.5194689749740065,0.9047619047619048
prnn_synth,250,2,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.7792034624610096,0.9206349206349206
prnn_synth,250,2,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,1.298672437435016,0.9047619047619048
prnn_synth,250,2,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,2.597344874870032,0.9047619047619048
prnn_synth,250,2,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.5825574622768909,0.9206349206349206
prnn_synth,250,2,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,1.1651149245537817,0.9206349206349206
prnn_synth,250,2,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,1.7476723868306727,0.9206349206349206
prnn_synth,250,2,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,2.912787311384454,0.9206349206349206
prnn_synth,250,2,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,5.825574622768908,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.9053804370667785,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,1.810760874133557,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,2.716141311200336,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,4.526902185333893,0.9206349206349206
prnn_synth,250,2,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,9.053804370667786,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,33.52156549894716,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,67.04313099789432,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,100.56469649684149,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,167.60782749473583,0.9206349206349206
prnn_synth,250,2,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,335.21565498947166,0.9047619047619048
prnn_synth,250,2,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,1.8738493614364415,0.9206349206349206
prnn_synth,250,2,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,3.747698722872883,0.9206349206349206
prnn_synth,250,2,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,5.621548084309325,0.9206349206349206
prnn_synth,250,2,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,9.369246807182208,0.9206349206349206
prnn_synth,250,2,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,18.738493614364415,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,3.48796423538588,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,6.97592847077176,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,10.463892706157639,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,17.4398211769294,0.9206349206349206
prnn_synth,250,2,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,34.8796423538588,0.9206349206349206
prnn_synth,250,2,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,6.716193983284756,0.9047619047619048
prnn_synth,250,2,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,13.432387966569513,0.9206349206349206
prnn_synth,250,2,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,20.148581949854268,0.9047619047619048
prnn_synth,250,2,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,33.58096991642378,0.9206349206349206
prnn_synth,250,2,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,67.16193983284757,0.9365079365079365
prnn_synth,250,2,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,39.65520201995503,0.9206349206349206
prnn_synth,250,2,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,79.31040403991005,0.9206349206349206
prnn_synth,250,2,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,118.9656060598651,0.9206349206349206
prnn_synth,250,2,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,198.27601009977516,0.9206349206349206
prnn_synth,250,2,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,396.5520201995503,0.9365079365079365
prnn_synth,250,2,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,665.4963547166902,0.873015873015873
prnn_synth,250,2,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,1330.9927094333805,0.9047619047619048
prnn_synth,250,2,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,1996.4890641500708,0.9047619047619048
prnn_synth,250,2,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,3327.4817735834513,0.9206349206349206
prnn_synth,250,2,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,6654.963547166903,0.9206349206349206
iris,150,4,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.028257254185155033,0.9473684210526315
iris,150,4,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.056514508370310065,0.9473684210526315
iris,150,4,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.0847717625554651,0.9473684210526315
iris,150,4,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.14128627092577517,0.9473684210526315
iris,150,4,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.28257254185155034,0.9473684210526315
iris,150,4,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.0638181685609743,0.9473684210526315
iris,150,4,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.1276363371219486,0.9473684210526315
iris,150,4,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.1914545056829229,0.9473684210526315
iris,150,4,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.31909084280487154,0.9473684210526315
iris,150,4,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,0.6381816856097431,0.9473684210526315
iris,150,4,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.09937908293679357,0.9473684210526315
iris,150,4,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.19875816587358713,0.9473684210526315
iris,150,4,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.29813724881038073,0.9473684210526315
iris,150,4,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.49689541468396786,0.9473684210526315
iris,150,4,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,0.9937908293679357,0.9473684210526315
iris,150,4,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,1.7774803556408734,0.9473684210526315
iris,150,4,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,3.5549607112817467,0.9473684210526315
iris,150,4,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,5.33244106692262,0.9473684210526315
iris,150,4,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,8.887401778204365,0.9473684210526315
iris,150,4,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,17.77480355640873,0.9473684210526315
iris,150,4,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.20606182606425139,0.9473684210526315
iris,150,4,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.41212365212850277,0.9473684210526315
iris,150,4,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.618185478192754,0.9473684210526315
iris,150,4,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,1.0303091303212568,0.9473684210526315
iris,150,4,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,2.0606182606425136,0.9473684210526315
iris,150,4,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.3838663979433477,0.9473684210526315
iris,150,4,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.7677327958866954,0.9473684210526315
